,met_id,Metabolite_Name,CC_ID,ideal_coords_filename,Experimental_Coordinates_File_Name,m_metabolite
0,10fthf5glu,10-formyltetrahydrofolate-[Glu](5),,,,10fthf5glu_l
1,10fthf5glu,10-formyltetrahydrofolate-[Glu](5),,,,10fthf5glu_l
2,10fthf5glu,10-formyltetrahydrofolate-[Glu](5),,,,10fthf5glu_m
3,10fthf5glu,10-formyltetrahydrofolate-[Glu](5),,,,10fthf5glu_m
4,10fthf6glu,10-formyltetrahydrofolate-[Glu](6),,,,10fthf6glu_l
5,10fthf6glu,10-formyltetrahydrofolate-[Glu](6),,,,10fthf6glu_l
6,10fthf6glu,10-formyltetrahydrofolate-[Glu](6),,,,10fthf6glu_m
7,10fthf6glu,10-formyltetrahydrofolate-[Glu](6),,,,10fthf6glu_c
8,10fthf6glu,10-formyltetrahydrofolate-[Glu](6),,,,10fthf6glu_m
9,10fthf7glu,10-formyltetrahydrofolate-[Glu](7),,,,10fthf7glu_l
10,10fthf7glu,10-formyltetrahydrofolate-[Glu](7),,,,10fthf7glu_m
11,10fthf7glu,10-formyltetrahydrofolate-[Glu](7),,,,10fthf7glu_c
12,10fthf,10-Formyltetrahydrofolate,,,,10fthf_c
13,10fthf,10-Formyltetrahydrofolate,,,,10fthf_m
14,10fthf,10-Formyltetrahydrofolate,,,,10fthf_m
15,10fthf,10-Formyltetrahydrofolate,,,,10fthf_m
16,10fthf,10-Formyltetrahydrofolate,,,,10fthf_c
17,10fthf,10-Formyltetrahydrofolate,,,,10fthf_c
18,10fthf,10-Formyltetrahydrofolate,,,,10fthf_l
19,10fthf,10-Formyltetrahydrofolate,,,,10fthf_m
20,10fthf,10-Formyltetrahydrofolate,,,,10fthf_c
21,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
22,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
23,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
24,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
25,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
26,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
27,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
28,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
29,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
30,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
31,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
32,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
33,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
34,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
35,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
36,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
37,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
38,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
39,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
40,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
41,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
42,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
43,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
44,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
45,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
46,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
47,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
48,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
49,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
50,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
51,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
52,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
53,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
54,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
55,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
56,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
57,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
58,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
59,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
60,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
61,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
62,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
63,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
64,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
65,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
66,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
67,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
68,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
69,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
70,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
71,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
72,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
73,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
74,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
75,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
76,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
77,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
78,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
79,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
80,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
81,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
82,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
83,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
84,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
85,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
86,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
87,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
88,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
89,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
90,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
91,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
92,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
93,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
94,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
95,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
96,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
97,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
98,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
99,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
100,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
101,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
102,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
103,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
104,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
105,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
106,h2o,Water,HOH,HOH_Ideal.sdf,,h2o_c
