,m_reaction,m_gene,m_subsystem,m_metabolites,u_pdb,i_entry_name,ssb_best_file
0,3SALATAi,TM_1255,Cysteine Metabolism,"['3sala_c', 'h_c', 'glu_L_c', 'akg_c', '3snpyr_c']",1O4S,,1o4s.pdb
4,3SALATAi,TM_1698,Cysteine Metabolism,"['3sala_c', 'h_c', 'glu_L_c', 'akg_c', '3snpyr_c']",2GB3,,2gb3.pdb
7,ASPTA,TM_1255,Glutamate Metabolism,"['oaa_c', 'asp_L_c', 'glu_L_c', 'akg_c']",1O4S,,1o4s.pdb
11,ASPTA,TM_1698,Glutamate Metabolism,"['oaa_c', 'asp_L_c', 'glu_L_c', 'akg_c']",2GB3,,2gb3.pdb
14,CYSTAi,TM_1255,Cysteine Metabolism,"['mercppyr_c', 'glu_L_c', 'akg_c', 'cys_L_c']",1O4S,,1o4s.pdb
18,CYSTAi,TM_1698,Cysteine Metabolism,"['mercppyr_c', 'glu_L_c', 'akg_c', 'cys_L_c']",2GB3,,2gb3.pdb
21,EHGLAT,TM_1255,Proline Biosynthesis,"['4h2oglt_c', 'glu_L_c', 'akg_c', 'e4hglu_c']",1O4S,,1o4s.pdb
25,EHGLAT,TM_1698,Proline Biosynthesis,"['4h2oglt_c', 'glu_L_c', 'akg_c', 'e4hglu_c']",2GB3,,2gb3.pdb
28,LCYSTAT,TM_1255,Cysteine Metabolism,"['Lcyst_c', 'akg_c', 'glu_L_c', '3spyr_c']",1O4S,,1o4s.pdb
32,LCYSTAT,TM_1698,Cysteine Metabolism,"['Lcyst_c', 'akg_c', 'glu_L_c', '3spyr_c']",2GB3,,2gb3.pdb
35,PHETA1,TM_1255,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['phpyr_c', 'akg_c', 'glu_L_c', 'phe_L_c']",1O4S,,1o4s.pdb
39,PHETA1,TM_1698,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['phpyr_c', 'akg_c', 'glu_L_c', 'phe_L_c']",2GB3,,2gb3.pdb
42,PHETA1,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['phpyr_c', 'akg_c', 'glu_L_c', 'phe_L_c']",1UU0,,
43,PHETA1,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['phpyr_c', 'akg_c', 'glu_L_c', 'phe_L_c']",1UU2,,
44,PHETA1,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['phpyr_c', 'akg_c', 'glu_L_c', 'phe_L_c']",2F8J,,
45,PHETA1,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['phpyr_c', 'akg_c', 'glu_L_c', 'phe_L_c']",1H1C,,
46,PHETA1,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['phpyr_c', 'akg_c', 'glu_L_c', 'phe_L_c']",1UU1,,1uu1.pdb
47,TYRTA,TM_1255,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['tyr_L_c', 'glu_L_c', 'akg_c', '34hpp_c']",1O4S,,1o4s.pdb
51,TYRTA,TM_1698,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['tyr_L_c', 'glu_L_c', 'akg_c', '34hpp_c']",2GB3,,2gb3.pdb
54,TYRTA,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['tyr_L_c', 'glu_L_c', 'akg_c', '34hpp_c']",1UU0,,
55,TYRTA,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['tyr_L_c', 'glu_L_c', 'akg_c', '34hpp_c']",1UU2,,
56,TYRTA,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['tyr_L_c', 'glu_L_c', 'akg_c', '34hpp_c']",2F8J,,
57,TYRTA,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['tyr_L_c', 'glu_L_c', 'akg_c', '34hpp_c']",1H1C,,
58,TYRTA,TM_1040,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['tyr_L_c', 'glu_L_c', 'akg_c', '34hpp_c']",1UU1,,1uu1.pdb
59,ACALDi,TM_0111,Pyruvate Met,"['nad_c', 'nadh_c', 'h_c', 'acald_c', 'accoa_c', 'coa_c']",,Q9WXW6.pdb,Q9WXW6.pdb
60,ACALDi,TM_0920,Pyruvate Met,"['nad_c', 'nadh_c', 'h_c', 'acald_c', 'accoa_c', 'coa_c']",1O2D,,1o2d_modified_min.pdb
61,ACALDi,TM_0920,Pyruvate Met,"['nad_c', 'nadh_c', 'h_c', 'acald_c', 'accoa_c', 'coa_c']",1VHD,,
63,ALCD19,TM_0111,Alternate Carbon Metabolism,"['glyc_c', 'h_c', 'nadh_c', 'glyald_c', 'nad_c']",,Q9WXW6.pdb,Q9WXW6.pdb
64,ALCD19,TM_0920,Alternate Carbon Metabolism,"['glyc_c', 'h_c', 'nadh_c', 'glyald_c', 'nad_c']",1O2D,,1o2d_modified_min.pdb
65,ALCD19,TM_0920,Alternate Carbon Metabolism,"['glyc_c', 'h_c', 'nadh_c', 'glyald_c', 'nad_c']",1VHD,,
67,ACOTA,TM_1785,Arginine Biosynthesis,"['glu_L_c', 'acorn_c', 'acg5sa_c', 'akg_c']",2E54,,
68,ACOTA,TM_1785,Arginine Biosynthesis,"['glu_L_c', 'acorn_c', 'acg5sa_c', 'akg_c']",2ORD,,2ord.pdb
69,ADAPAT,TM_1785,Lysine Biosynthesis,"['nal2a6o_c', 'n6all26d_c', 'akg_c', 'glu_L_c']",2E54,,
70,ADAPAT,TM_1785,Lysine Biosynthesis,"['nal2a6o_c', 'n6all26d_c', 'akg_c', 'glu_L_c']",2ORD,,2ord.pdb
71,ADMDC,TM_0655,Methionine Metabolism,"['h_c', 'co2_c', 'ametam_c', 'amet_c']",1TMI,,
72,ADMDC,TM_0655,Methionine Metabolism,"['h_c', 'co2_c', 'ametam_c', 'amet_c']",3IWC,,
73,ADMDC,TM_0655,Methionine Metabolism,"['h_c', 'co2_c', 'ametam_c', 'amet_c']",3IWB,,
74,ADMDC,TM_0655,Methionine Metabolism,"['h_c', 'co2_c', 'ametam_c', 'amet_c']",3IWD,,
75,ADMDC,TM_0655,Methionine Metabolism,"['h_c', 'co2_c', 'ametam_c', 'amet_c']",1TLU,,
76,ADMDC,TM_0655,Methionine Metabolism,"['h_c', 'co2_c', 'ametam_c', 'amet_c']",1VR7,,1vr7.pdb
77,ADSL1r,TM_1095,Purine Biosynthesis,"['amp_c', 'dcamp_c', 'fum_c']",1C3U,,
78,ADSL1r,TM_1095,Purine Biosynthesis,"['amp_c', 'dcamp_c', 'fum_c']",1C3C,,1c3c.pdb
79,ADSL2r,TM_1095,Purine Biosynthesis,"['25aics_c', 'fum_c', 'aicar_c']",1C3U,,
80,ADSL2r,TM_1095,Purine Biosynthesis,"['25aics_c', 'fum_c', 'aicar_c']",1C3C,,1c3c.pdb
81,ASNTRAT,TM_1272,tRNA Metabolism,"['atp_c', 'pi_c', 'asntrna_c', 'asptrna_asn__c', 'adp_c', 'h2o_c', 'gln_L_c', 'h_c', 'glu_L_c']",3AL0,,
