,m_gene,m_metabolites,m_reaction,m_subsystem,u_uniprot_acc
0,PPAP2C,"['dag_hs_18_2_20_4_c', 'h2o_c', 'pi_c', 'pa_hs_18_2_20_4_c']",PPAP_18_2_20_4,platelet metabolism,O43688
1,PPAP2C,"['pa_hs_18_2_18_2_c', 'dag_hs_18_2_18_2_c', 'pi_c', 'h2o_c']",PPAP_18_2_18_2,platelet metabolism,O43688
2,PPAP2C,"['h2o_c', 'dag_hs_18_1_20_4_c', 'pi_c', 'pa_hs_18_1_20_4_c']",PPAP_18_1_20_4,platelet metabolism,O43688
3,PPAP2C,"['h2o_c', 'dag_hs_18_1_18_2_c', 'pa_hs_18_1_18_2_c', 'pi_c']",PPAP_18_1_18_2,platelet metabolism,O43688
4,PPAP2C,"['dag_hs_18_1_18_1_c', 'pa_hs_18_1_18_1_c', 'pi_c', 'h2o_c']",PPAP_18_1_18_1,platelet metabolism,O43688
5,PPAP2C,"['h2o_c', 'dag_hs_18_0_20_4_c', 'pa_hs_18_0_20_4_c', 'pi_c']",PPAP_18_0_20_4,platelet metabolism,O43688
6,PPAP2C,"['h2o_c', 'pa_hs_18_0_18_2_c', 'dag_hs_18_0_18_2_c', 'pi_c']",PPAP_18_0_18_2,platelet metabolism,O43688
7,PPAP2C,"['h2o_c', 'dag_hs_18_0_18_1_c', 'pi_c', 'pa_hs_18_0_18_1_c']",PPAP_18_0_18_1,platelet metabolism,O43688
8,PPAP2C,"['dag_hs_18_0_18_0_c', 'h2o_c', 'pi_c', 'pa_hs_18_0_18_0_c']",PPAP_18_0_18_0,platelet metabolism,O43688
9,PPAP2C,"['pa_hs_16_0_20_4_c', 'dag_hs_16_0_20_4_c', 'pi_c', 'h2o_c']",PPAP_16_0_20_4,platelet metabolism,O43688
10,PPAP2C,"['h2o_c', 'dag_hs_16_0_18_2_c', 'pi_c', 'pa_hs_16_0_18_2_c']",PPAP_16_0_18_2,platelet metabolism,O43688
11,PPAP2C,"['dag_hs_16_0_18_1_c', 'h2o_c', 'pa_hs_16_0_18_1_c', 'pi_c']",PPAP_16_0_18_1,platelet metabolism,O43688
12,PPAP2C,"['h2o_c', 'dag_hs_20_4_20_4_c', 'pa_hs_20_4_20_4_c', 'pi_c']",PPAP_20_4_20_4,platelet metabolism,O43688
13,PPAP2C,"['h2o_c', 'dag_hs_16_0_18_0_c', 'pi_c', 'pa_hs_16_0_18_0_c']",PPAP_16_0_18_0,platelet metabolism,O43688
14,PPAP2C,"['h2o_c', 'dag_hs_16_0_16_0_c', 'pi_c', 'pa_hs_16_0_16_0_c']",PPAP_16_0_16_0,platelet metabolism,O43688
15,PPAP2B,"['dag_hs_18_2_20_4_c', 'h2o_c', 'pi_c', 'pa_hs_18_2_20_4_c']",PPAP_18_2_20_4,platelet metabolism,O14495
16,PPAP2B,"['pa_hs_18_2_18_2_c', 'dag_hs_18_2_18_2_c', 'pi_c', 'h2o_c']",PPAP_18_2_18_2,platelet metabolism,O14495
17,PPAP2B,"['h2o_c', 'dag_hs_18_1_20_4_c', 'pi_c', 'pa_hs_18_1_20_4_c']",PPAP_18_1_20_4,platelet metabolism,O14495
18,PPAP2B,"['h2o_c', 'dag_hs_18_1_18_2_c', 'pa_hs_18_1_18_2_c', 'pi_c']",PPAP_18_1_18_2,platelet metabolism,O14495
19,PPAP2B,"['dag_hs_18_1_18_1_c', 'pa_hs_18_1_18_1_c', 'pi_c', 'h2o_c']",PPAP_18_1_18_1,platelet metabolism,O14495
20,PPAP2B,"['h2o_c', 'dag_hs_18_0_20_4_c', 'pa_hs_18_0_20_4_c', 'pi_c']",PPAP_18_0_20_4,platelet metabolism,O14495
21,PPAP2B,"['h2o_c', 'pa_hs_18_0_18_2_c', 'dag_hs_18_0_18_2_c', 'pi_c']",PPAP_18_0_18_2,platelet metabolism,O14495
22,PPAP2B,"['h2o_c', 'dag_hs_18_0_18_1_c', 'pi_c', 'pa_hs_18_0_18_1_c']",PPAP_18_0_18_1,platelet metabolism,O14495
